id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
35876191,欢迎来到王之国,,https://dou.img.lithub.cc/movie/35876191.jpg,2023-06-17(韩国),https://movie.douban.com/subject/35876191/,6.5,"喜剧,爱情",4,哎哟，这撒娇，伐得聊！,,2023-07-28 21:07:44,2023 / 韩国 / 喜剧 爱情 / 林贤旭 / 李俊昊 林允儿
35524438,命案,,https://dou.img.lithub.cc/movie/35524438.jpg,2023-04-20(中国香港),https://movie.douban.com/subject/35524438/,7.2,"剧情,犯罪",2,被教育,,2023-07-28 11:01:20,2023 / 中国香港 / 剧情 犯罪 / 郑保瑞 / 林家栋 杨乐文
35705832,八尺门的辩护人,,https://dou.img.lithub.cc/movie/35705832.jpg,2023-07-02(中国台湾),https://movie.douban.com/subject/35705832/,8.7,"剧情,悬疑",4,所以，最后还是sha了？,,2023-07-26 12:55:43,2023 / 中国台湾 / 剧情 悬疑 / 唐福睿 / 李铭顺 范逸臣
35724630,恶鬼,,https://dou.img.lithub.cc/movie/35724630.jpg,2023-06-23(韩国),https://movie.douban.com/subject/35724630/,7.8,"悬疑,惊悚",4,,,2023-07-24 11:03:51,2023 / 韩国 / 悬疑 惊悚 / 李正林 / 金泰梨 吴正世
35056376,惊天营救2,,https://dou.img.lithub.cc/movie/35056376.jpg,2023-06-16(美国网络),https://movie.douban.com/subject/35056376/,7.4,"动作,惊悚",3,黑帮有点菜,,2023-07-22 15:47:23,2023 / 美国 / 动作 惊悚 / 山姆·哈格雷夫 / 克里斯·海姆斯沃斯 格什菲·法拉哈尼
35813934,东北警察故事2,,https://dou.img.lithub.cc/movie/35813934.jpg,2023-07-08(中国大陆网络),https://movie.douban.com/subject/35813934/,7.2,"剧情,动作,犯罪",4,拳拳到肉！,,2023-07-21 08:28:36,2023 / 中国大陆 / 剧情 动作 犯罪 / 秦鹏飞 杨秉佳 / 谢苗 张皓森
35312421,鲸,,https://dou.img.lithub.cc/movie/35312421.jpg,2022-09-04(威尼斯电影节),https://movie.douban.com/subject/35312421/,7.9,"剧情,同性",4,女儿是生命最后的一道曙光,,2023-07-11 09:53:57,2022 / 美国 / 剧情 同性 / 达伦·阿伦诺夫斯基 / 布兰登·费舍 萨迪·辛克
35807273,犯罪都市3,,https://dou.img.lithub.cc/movie/35807273.jpg,2023-05-31(韩国),https://movie.douban.com/subject/35807273/,6.5,"动作,犯罪",3,配个啤酒，流水片,,2023-07-07 09:15:11,2023 / 韩国 / 动作 犯罪 / 李相龙 / 马东锡 李浚赫
35468745,羊毛战记 第一季,,https://dou.img.lithub.cc/movie/35468745.jpg,2023-05-05(美国),https://movie.douban.com/subject/35468745/,7.8,"剧情,科幻",4,额，10集开了个头！,,2023-07-06 21:51:21,2023 / 美国 / 剧情 科幻 / 莫滕·泰杜姆 / 丽贝卡·弗格森 大卫·奥伊罗
35660795,消失的她,,https://dou.img.lithub.cc/movie/35660795.jpg,2023-06-22(中国大陆),https://movie.douban.com/subject/35660795/,6.2,"悬疑,犯罪",3,嗨剧，被倪妮惊艳,,2023-07-01 07:56:40,2022 / 中国大陆 / 悬疑 犯罪 / 崔睿 刘翔 / 朱一龙 倪妮
35481689,猎犬,,https://dou.img.lithub.cc/movie/35481689.jpg,2023-06-09(韩国),https://movie.douban.com/subject/35481689/,6.8,"剧情,动作,惊悚",3,,,2023-06-23 01:09:58,2023 / 韩国 / 剧情 动作 惊悚 犯罪 运动 / 金周焕 / 禹棹焕 崔始源
35901863,黑镜 第六季,,https://dou.img.lithub.cc/movie/35901863.jpg,2023-06-15(美国),https://movie.douban.com/subject/35901863/,7.1,"剧情,科幻,悬疑",4,黑到什么程度，看就是,,2023-06-18 13:45:04,2023 / 美国 / 剧情 科幻 悬疑 惊悚 / 阿丽·潘基乌 萨姆·米勒 约翰·克劳利 乌塔·布里兹维茨 托比·海恩斯 / 安妮·墨菲 萨尔玛·海耶克
27305997,椒麻堂会,,https://dou.img.lithub.cc/movie/27305997.jpg,2021-08-13(洛迦诺国际电影节),https://movie.douban.com/subject/27305997/,8.6,剧情,4,能看到就是幸运。,,2023-06-10 22:58:00,2021 / 中国香港 法国 / 剧情 / 邱炯炯 / 易思成 关南
34941536,宇宙探索编辑部,,https://dou.img.lithub.cc/movie/34941536.jpg,2023-04-01(中国大陆),https://movie.douban.com/subject/34941536/,8,"喜剧,科幻",3,充满幻象与隐喻，没怎么懂,,2023-05-13 15:40:11,2021 / 中国大陆 / 喜剧 科幻 / 孔大山 / 杨皓宇 艾丽娅
35588177,漫长的季节,,https://dou.img.lithub.cc/movie/35588177.jpg,2023-04-22(中国大陆),https://movie.douban.com/subject/35588177/,9.4,"剧情,家庭,犯罪",5,苦,,2023-05-02 23:15:44,2023 / 中国大陆 / 剧情 家庭 犯罪 / 辛爽 / 范伟 秦昊
36053200,锵锵行天下 第三季,,https://dou.img.lithub.cc/movie/36053200.jpg,2023-03-09(中国大陆),https://movie.douban.com/subject/36053200/,9.4,脱口秀,4,文化一直都在,,2023-04-08 13:05:31,2023 / 中国大陆 / 脱口秀 / 窦文涛 / 窦文涛 许子东
35521951,杀死福顺,,https://dou.img.lithub.cc/movie/35521951.jpg,2023-02-18(柏林国际电影节),https://movie.douban.com/subject/35521951/,6.7,"动作,惊悚",3,,,2023-04-05 13:38:18,2023 / 韩国 / 动作 惊悚 / 边圣铉 / 全度妍 李絮
35651927,模仿犯,,https://dou.img.lithub.cc/movie/35651927.jpg,2023-03-31(中国台湾),https://movie.douban.com/subject/35651927/,7.4,"剧情,悬疑,犯罪",3,,,2023-04-04 17:47:09,2023 / 中国台湾 / 剧情 悬疑 犯罪 / 张荣吉 张亨如 / 吴慷仁 柯佳嬿
35873870,他是谁,,https://dou.img.lithub.cc/movie/35873870.jpg,2023-03-14(中国大陆),https://movie.douban.com/subject/35873870/,5.6,"剧情,悬疑,犯罪",2,他是谁，谁关心,,2023-04-04 17:46:53,2023 / 中国大陆 / 剧情 悬疑 犯罪 / 鲍成志 / 张译 陈雨锶
35203206,虽然只是弄丢了手机,,https://dou.img.lithub.cc/movie/35203206.jpg,2023-02-17(韩国网络),https://movie.douban.com/subject/35203206/,6.4,"剧情,悬疑,惊悚",2,杀手就这么GG啦？,,2023-02-21 19:20:35,2023 / 韩国 / 剧情 悬疑 惊悚 / 金泰俊 / 任时完 千玗嬉
35891669,我在岛屿读书,,https://dou.img.lithub.cc/movie/35891669.jpg,2022-11-10(中国大陆),https://movie.douban.com/subject/35891669/,9.1,真人秀,5,经典书的前提是常销书。,,2023-02-17 23:22:52,2022 / 中国大陆 / 真人秀 / 余华 苏童
35244291,命定之人,,https://dou.img.lithub.cc/movie/35244291.jpg,2022-11-18(韩国),https://movie.douban.com/subject/35244291/,7.1,"悬疑,惊悚",3,倚门说，我想要。,,2023-02-17 21:02:26,2022 / 韩国 / 悬疑 惊悚 / 郑址宇 / 金英光 姜海琳
26647087,三体,,https://dou.img.lithub.cc/movie/26647087.jpg,2023-01-15(中国大陆),https://movie.douban.com/subject/26647087/,8.7,"剧情,科幻",5,用心了！,,2023-02-11 21:22:33,2023 / 中国大陆 / 剧情 科幻 / 杨磊 / 张鲁一 于和伟
35314632,黑暗荣耀,,https://dou.img.lithub.cc/movie/35314632.jpg,2022-12-30(韩国),https://movie.douban.com/subject/35314632/,8.9,剧情,4,,,2023-02-02 14:33:43,2022 / 韩国 / 剧情 / 安吉镐 / 宋慧乔 李到晛
35674355,中国奇谭,,https://dou.img.lithub.cc/movie/35674355.jpg,2023-01-01(中国大陆),https://movie.douban.com/subject/35674355/,8.7,"动画,短片,奇幻",5,当代寓言,,2023-02-02 14:33:16,2023 / 中国大陆 / 动画 短片 奇幻 / 陈廖宇 於水 胡睿 杨木 刘毛宁 陈莲华 徐宁 顾杨 刘旷 潘斌
